dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.67181,0.7866,0.067993,2,3,1,3,1,0.1274,0.9998,0.204
0.67533,0.3047,0.60217,1,3,3,2,3,0.19339,0.0098,0.325
0.77016,0.52573,0.78474,3,1,2,2,2,0.23568,0.1792,0.003
0.34112,0.72517,0.19175,1,1,3,2,1,0.36921,0.0461,0.028
0.2875,0.36378,0.57621,1,3,1,3,1,0.34168,0.9998,0.031
0.63579,0.96162,0.20893,2,2,2,2,3,0.35464,0.0483,0.311
0.66194,0.8392,0.35022,1,1,2,2,2,0.331,0.1253,0.013
0.58225,0.67852,0.86994,2,3,3,1,2,0.13239,0.0109,0.9
0.63932,0.6813,0.64731,1,1,3,2,2,0.27194,0.0219,0.013
0.1097,0.34451,0.40458,3,2,3,1,1,0.22419,0.0186,0.389
0.97274,0.43442,0.13887,2,3,2,3,3,0.34813,0.001,0.461
0.39346,0.77,0.74126,1,2,2,3,2,0.26003,0.9998,0.023
0.75493,0.46995,0.4424,2,1,2,1,1,0.3439,0.0021,0.253
0.44231,0.3137,0.33086,2,3,2,3,3,0.21215,0.9998,0.044
0.39118,0.83838,0.39679,1,1,3,2,3,0.40426,0.0736,0.013
0.32757,0.76989,0.43864,3,2,1,3,3,0.41675,0.9998,0.025
0.88428,0.71162,0.15475,3,1,3,3,2,0.099931,0.0021,0.015
0.53406,0.36297,0.11171,2,3,3,3,1,0.068146,0.0406,0.274
0.054974,0.8955,0.56056,3,2,1,2,1,0.4648,0.9998,0.066
0.00052238,0.90581,0.61257,3,2,3,3,3,0.49498,0.9998,0.023
0.90085,0.70226,0.84518,2,2,3,1,2,0.36932,0.001,0.814
0.66094,0.81083,0.89075,2,1,2,1,2,0.49115,0.0076,0.187
0.12086,0.9039,0.4843,3,2,3,2,1,0.42243,0.1396,0.147
0.36241,0.33467,0.48957,1,2,2,1,2,0.096255,0.0274,0.45
0.6352,0.49731,0.5386,1,1,1,1,1,0.34758,0.9998,0.019
0.853,0.91175,0.27029,2,2,2,1,2,0.10423,0.0032,0.899
0.082071,0.374,0.14204,2,2,2,1,3,0.08323,0.0472,0.538
0.73784,0.34438,0.86044,2,2,1,3,3,0.4672,0.9998,0.006
0.39859,0.39375,0.03089,3,3,3,2,1,0.46957,0.0109,0.459
0.025228,0.88954,0.55903,1,1,1,2,2,0.42705,0.9998,0.003
0.33083,0.92894,0.11816,2,2,1,1,2,0.49421,0.2529,0.413
0.46484,0.83477,0.8182,2,3,3,1,2,0.050111,0.0329,0.9
0.17567,0.44626,0.90515,1,2,1,2,2,0.3377,0.9998,0.03
0.56186,0.42894,0.59721,2,3,1,3,3,0.14997,0.9998,0.057
0.053754,0.60921,0.013283,1,1,3,1,1,0.4486,0.0087,0.578
0.99539,0.53246,0.29735,1,1,1,2,1,0.031023,0.001,0.059
0.089892,0.3566,0.77724,1,1,2,3,2,0.45257,0.9998,0.001
0.74631,0.30724,0.048447,2,1,3,2,1,0.33396,0.001,0.143
0.28798,0.78477,0.55667,2,2,3,3,3,0.19826,0.6775,0.036
0.10481,0.38952,0.54954,1,3,2,2,3,0.24261,0.9998,0.086
0.088527,0.85885,0.94301,3,3,3,1,1,0.34186,0.0384,0.731
0.32881,0.75767,0.74913,1,3,1,1,2,0.29159,0.9998,0.293
0.086235,0.55651,0.3692,3,1,3,3,3,0.34251,0.9734,0.001
0.77193,0.44397,0.38827,2,3,2,1,1,0.27589,0.0032,0.876
0.10061,0.50585,0.23737,1,2,2,1,3,0.26544,0.0516,0.441
0.29157,0.72247,0.96442,1,2,1,1,3,0.21624,0.9998,0.199
0.93376,0.43122,0.26618,3,3,2,2,1,0.39892,0.001,0.6
0.67329,0.6007,0.45174,2,3,2,1,1,0.30493,0.0087,0.845
0.13015,0.36465,0.0078203,1,1,3,3,1,0.21155,0.0153,0.162
0.1265,0.39401,0.098594,2,3,2,1,2,0.071014,0.0527,0.747
0.25104,0.92505,0.70322,1,1,1,1,1,0.27787,0.9998,0.046
0.55779,0.5194,0.1662,1,1,1,3,3,0.31125,0.9998,0.001
0.6841,0.58167,0.98284,3,1,1,2,1,0.20109,0.9998,0.001
0.87111,0.54554,0.68554,2,1,2,1,3,0.14707,0.001,0.296
0.45259,0.59585,0.35961,2,3,2,2,1,0.27916,0.232,0.203
0.29019,0.52226,0.65369,3,2,2,1,1,0.47847,0.0406,0.312
0.74065,0.82058,0.10592,3,2,1,3,3,0.34078,0.9998,0.066
0.16357,0.76619,0.89439,2,1,1,3,1,0.25828,0.9998,0.001
0.036563,0.86644,0.74862,3,1,3,2,3,0.060094,0.5114,0.008
0.18074,0.47877,0.020536,2,1,2,2,2,0.46184,0.0472,0.1
0.57739,0.60802,0.25761,2,3,1,3,3,0.37597,0.9998,0.077
0.64206,0.59333,0.39076,1,1,3,3,3,0.40807,0.1176,0.001
0.63566,0.96563,0.44396,1,3,3,3,2,0.030009,0.1187,0.372
0.65245,0.72349,0.38725,3,2,2,3,1,0.071094,0.9998,0.049
0.84156,0.81396,0.57103,1,2,1,3,2,0.088428,0.9998,0.043
0.0875,0.74808,0.18062,3,1,3,1,2,0.022526,0.0252,0.444
0.02165,0.9374,0.80056,3,2,2,2,2,0.37292,0.9998,0.071
0.27507,0.47404,0.45164,3,2,2,2,2,0.11386,0.7633,0.074
0.80209,0.9924,0.066946,3,3,1,2,1,0.4697,0.2947,0.349
0.899,0.73816,0.13787,1,3,3,2,3,0.1089,0.001,0.786
0.35446,0.58744,0.98435,1,1,1,2,3,0.47279,0.9998,0.001
0.24417,0.50686,0.68018,3,3,3,2,2,0.26392,0.1121,0.21
0.58357,0.65827,0.082593,2,2,3,2,2,0.35979,0.0076,0.449
0.45469,0.5894,0.21773,3,2,3,2,3,0.062827,0.0263,0.386
0.84321,0.94563,0.77095,1,3,3,3,1,0.02133,0.0252,0.388
0.67303,0.63424,0.62372,2,3,3,1,1,0.11822,0.0065,0.9
0.18223,0.36937,0.48976,1,3,3,3,1,0.096623,0.8172,0.059
0.31194,0.42529,0.33896,3,1,1,2,3,0.10507,0.9998,0.003
0.054617,0.6509,0.43172,2,3,2,1,2,0.49878,0.0835,0.482
0.92736,0.94225,0.71357,3,2,3,1,2,0.30917,0.001,0.847
0.83315,0.5788,0.74982,2,3,1,3,2,0.41761,0.9998,0.046
0.61947,0.55245,0.75651,1,2,3,2,1,0.20695,0.0153,0.208
0.73907,0.96792,0.031923,2,3,3,1,3,0.17843,0.0065,0.9
0.59061,0.76231,0.047555,2,1,1,3,2,0.17439,0.9998,0.009
0.73105,0.39643,0.83672,2,1,3,3,1,0.069301,0.0736,0.001
0.87705,0.5472,0.44944,2,2,3,2,2,0.48177,0.001,0.355
0.67511,0.55272,0.62028,1,3,1,3,2,0.40558,0.9998,0.048
0.40349,0.38541,0.26844,1,1,3,2,1,0.12892,0.0505,0.014
0.094278,0.95103,0.39902,1,1,2,1,3,0.023701,0.1033,0.323
0.89363,0.33835,0.30366,2,3,3,2,3,0.023096,0.001,0.731
0.070684,0.94592,0.80037,1,3,3,3,2,0.14297,0.9998,0.115
0.47062,0.6925,0.26909,2,3,3,3,2,0.37451,0.1187,0.168
0.36246,0.85168,0.7803,2,2,1,1,2,0.33426,0.9998,0.202
0.9809,0.50063,0.80082,1,1,2,1,3,0.44806,0.001,0.228
0.57676,0.3181,0.44653,2,3,3,2,3,0.32315,0.0153,0.265
0.37253,0.71523,0.87255,2,2,3,3,3,0.46675,0.9239,0.015
0.66693,0.95361,0.81095,3,1,2,1,2,0.24227,0.0076,0.254
0.38888,0.61832,0.24669,3,2,3,3,3,0.39221,0.1737,0.054
0.89971,0.61528,0.20567,3,3,2,2,1,0.44983,0.0032,0.596
0.12281,0.58512,0.27529,3,3,1,3,2,0.35833,0.9998,0.071
0.69481,0.88406,0.60963,1,3,3,2,2,0.28737,0.0142,0.545
0.018613,0.77234,0.43851,1,2,3,3,3,0.21891,0.9998,0.034
0.37569,0.68259,0.56192,1,3,1,1,2,0.19791,0.925,0.325
0.40008,0.88231,0.13434,2,2,2,3,3,0.030233,0.9998,0.148
0.53991,0.36676,0.14651,1,1,1,1,1,0.31557,0.4289,0.036
0.51546,0.53148,0.43,3,3,2,3,2,0.2459,0.9998,0.064
0.39453,0.72943,0.81864,1,3,1,2,3,0.44312,0.9998,0.117
0.50384,0.72897,0.81942,3,1,1,3,2,0.26594,0.9998,0.001
0.69539,0.80412,0.3469,1,2,2,3,2,0.2585,0.6874,0.042
0.83627,0.81197,0.36003,2,1,2,3,2,0.22711,0.4267,0.001
0.94521,0.84896,0.70557,2,3,3,2,3,0.054667,0.001,0.685
0.83419,0.31095,0.86371,2,2,2,1,1,0.039035,0.0021,0.785
0.67117,0.71971,0.055976,3,2,1,2,1,0.028172,0.8601,0.325
0.52013,0.90471,0.097698,1,1,2,3,2,0.45403,0.9998,0.003
0.76668,0.8941,0.91682,1,2,1,2,1,0.49348,0.9998,0.053
0.76289,0.35807,0.6616,2,1,1,2,2,0.25849,0.9998,0.001
0.65591,0.61636,0.8397,1,3,2,2,3,0.26631,0.1385,0.233
0.86689,0.58474,0.11262,2,3,2,1,2,0.22192,0.0032,0.9
0.36045,0.39818,0.26013,1,2,3,2,2,0.043408,0.0384,0.278
0.49507,0.79449,0.24357,2,1,1,2,1,0.39254,0.9998,0.006
0.18918,0.39974,0.26808,1,2,1,1,1,0.087446,0.9998,0.175
0.48267,0.56321,0.52378,1,2,3,3,1,0.13244,0.2342,0.042
0.4306,0.97309,0.76241,1,2,1,1,3,0.0036743,0.9998,0.777
0.77237,0.45962,0.37086,3,3,2,2,1,0.44546,0.0197,0.285
0.9091,0.71412,0.33257,3,2,1,2,3,0.42653,0.5103,0.089
0.1793,0.53557,0.18771,2,3,1,2,3,0.16096,0.9998,0.179
0.2415,0.4702,0.15416,2,2,1,2,1,0.47821,0.9998,0.051
0.18879,0.30084,0.31642,3,3,3,1,2,0.34981,0.0131,0.497
0.76155,0.83369,0.57606,2,2,2,1,2,0.37383,0.0043,0.794
0.14785,0.43872,0.67227,2,1,2,2,1,0.21576,0.9998,0.001
0.94623,0.93451,0.39268,3,1,1,2,1,0.012428,0.4916,0.03
0.58247,0.78065,0.71943,3,3,3,1,2,0.32502,0.0076,0.9
0.97977,0.49938,0.59497,3,2,2,1,1,0.48108,0.001,0.752
0.27322,0.40636,0.39711,1,1,2,3,2,0.18736,0.9998,0.001
0.57326,0.85281,0.23537,1,2,1,2,1,0.22401,0.9998,0.117
0.83706,0.97975,0.84637,2,1,2,2,1,0.253,0.0406,0.012
0.60026,0.42082,0.090347,1,3,1,3,2,0.12763,0.9998,0.111
0.57605,0.86744,0.40384,3,3,3,3,1,0.49422,0.0912,0.165
0.55656,0.67055,0.82998,1,1,2,1,3,0.42938,0.0142,0.14
0.10974,0.48892,0.52464,3,1,2,3,1,0.48633,0.9998,0.001
0.63928,0.47876,0.088666,3,1,1,3,3,0.41913,0.9998,0.001
0.82773,0.43369,0.44253,2,3,1,2,1,0.19671,0.9998,0.098
0.67146,0.69969,0.16977,3,3,1,1,1,0.073828,0.1572,0.774
0.80506,0.61596,0.38265,2,3,2,1,1,0.39482,0.0032,0.9
0.65012,0.98239,0.075967,2,2,3,3,1,0.29351,0.0142,0.298
0.18657,0.8468,0.1958,2,1,1,3,3,0.49618,0.9998,0.001
0.35651,0.35127,0.59099,3,2,3,2,3,0.45509,0.0703,0.066
0.76367,0.69117,0.18384,1,2,3,1,3,0.24897,0.001,0.9
0.4035,0.95449,0.47948,2,3,3,3,3,0.1159,0.3277,0.212
0.96243,0.67455,0.96387,2,3,2,3,3,0.057813,0.0131,0.331
0.54055,0.60239,0.54267,1,1,2,2,3,0.35621,0.9998,0.002
0.36909,0.76324,0.16961,1,3,1,2,1,0.13939,0.9998,0.243
0.40397,0.42546,0.96892,1,1,1,3,2,0.20373,0.9998,0.001
0.46495,0.86978,0.89844,3,2,2,3,3,0.21462,0.9998,0.026
0.73496,0.96787,0.54281,2,2,3,3,2,0.27005,0.0307,0.112
0.0093325,0.94052,0.64274,1,1,1,1,2,0.00070953,0.9998,0.308
0.72708,0.54788,0.78045,1,1,2,1,1,0.21833,0.0032,0.231
0.24108,0.88896,0.85721,2,1,1,1,2,0.48181,0.9998,0.029
0.34757,0.62286,0.63932,2,1,1,2,3,0.45867,0.9998,0.001
0.39305,0.42528,0.63333,1,3,2,2,3,0.312,0.5873,0.099
0.23224,0.31654,0.60743,1,3,3,3,1,0.055405,0.8282,0.057
0.44094,0.96934,0.12403,2,3,2,2,1,0.23538,0.1484,0.456
0.13378,0.7797,0.90945,3,1,3,3,1,0.30543,0.9998,0.001
0.15572,0.8733,0.62492,3,1,3,2,2,0.36928,0.3948,0.004
0.74241,0.88179,0.1565,3,1,3,2,3,0.22865,0.0032,0.091
0.58275,0.89845,0.034866,2,3,3,3,2,0.44271,0.0208,0.499
0.60596,0.47814,0.32415,2,1,3,1,1,0.2009,0.0021,0.324
0.094629,0.52623,0.7696,2,2,2,1,1,0.11706,0.0934,0.393
0.30937,0.66612,0.3253,3,3,3,3,1,0.41592,0.3057,0.1
0.45643,0.5692,0.5386,3,2,1,3,1,0.49585,0.9998,0.013
0.75688,0.72139,0.85717,3,3,1,2,1,0.49414,0.9998,0.097
0.21928,0.52806,0.095949,3,2,1,2,1,0.37377,0.9998,0.078
0.95754,0.92498,0.3565,3,2,2,3,2,0.2732,0.0032,0.193
0.82239,0.31761,0.41443,2,2,3,3,1,0.3657,0.0076,0.059
0.1296,0.45755,0.35001,3,2,3,3,1,0.14354,0.8381,0.025
0.16756,0.65154,0.99933,3,1,2,1,3,0.1777,0.1242,0.078
0.93612,0.77823,0.96211,1,1,2,2,1,0.21899,0.0043,0.017
0.93247,0.83428,0.82645,3,1,2,3,1,0.28673,0.0681,0.001
0.82991,0.50332,0.40255,3,1,1,1,2,0.43103,0.0241,0.111
0.24895,0.63305,0.39908,2,3,1,3,3,0.29972,0.9998,0.076
0.43007,0.70057,0.70082,3,1,3,3,2,0.37123,0.3904,0.001
0.84972,0.49344,0.62232,3,2,2,3,2,0.29418,0.232,0.025
0.90467,0.91907,0.43899,3,1,2,2,1,0.39086,0.0043,0.033
0.1962,0.5127,0.48329,1,2,1,2,3,0.16891,0.9998,0.062
0.37547,0.98159,0.97231,3,3,1,1,3,0.32185,0.9998,0.366
0.93359,0.80424,0.48404,3,2,2,3,2,0.31952,0.0109,0.127
0.65886,0.93094,0.99538,3,1,2,3,2,0.32658,0.9998,0.001
0.74611,0.76376,0.52331,1,1,2,2,3,0.12995,0.0791,0.015
0.059031,0.92303,0.3302,3,2,1,3,2,0.11485,0.9998,0.061
0.27543,0.49727,0.88007,1,1,1,2,1,0.22217,0.9998,0.001
0.8486,0.33545,0.4662,3,2,3,1,3,0.16283,0.001,0.793
0.44843,0.3248,0.51381,2,1,2,2,2,0.20387,0.9998,0.001
0.70085,0.91056,0.052192,1,2,2,2,3,0.10984,0.0219,0.583
0.059095,0.81863,0.50679,2,3,3,2,2,0.099963,0.2221,0.38
0.017173,0.88034,0.62659,2,1,3,2,3,0.26937,0.6115,0.004
0.2943,0.42594,0.92629,2,3,1,3,1,0.03409,0.9998,0.075
0.81686,0.67025,0.69435,2,2,2,3,1,0.1062,0.4267,0.038
0.05734,0.74062,0.79618,2,3,3,2,1,0.3456,0.2408,0.192
0.20703,0.84252,0.91419,2,3,2,3,1,0.39128,0.9998,0.061
0.22781,0.52472,0.82956,1,1,3,3,1,0.41109,0.6038,0.001
0.44159,0.61235,0.46566,2,2,1,3,3,0.13952,0.9998,0.03
0.68964,0.39228,0.1235,3,3,3,3,1,0.095451,0.0153,0.332
0.92586,0.64485,0.65488,1,2,1,3,3,0.44506,0.9998,0.016
0.97301,0.55552,0.30915,2,1,3,1,1,0.060456,0.001,0.402
0.61529,0.70819,0.69825,3,1,1,3,2,0.014666,0.9998,0.001
0.24607,0.70704,0.93768,2,1,3,2,3,0.023894,0.2925,0.009
0.79625,0.7325,0.070214,1,1,3,2,1,0.034639,0.0021,0.179
0.10482,0.90085,0.6982,1,3,1,1,1,0.36687,0.9998,0.298
0.14782,0.31384,0.96429,2,2,1,2,1,0.48519,0.9998,0.015
0.55812,0.59945,0.26719,1,2,2,1,3,0.37687,0.0098,0.672
0.53316,0.96833,0.26775,3,3,2,3,1,0.12504,0.9998,0.163
0.63588,0.85886,0.5017,3,1,1,2,1,0.32541,0.9998,0.004
0.83784,0.94455,0.49823,3,1,2,1,2,0.13881,0.0021,0.343
0.11118,0.50815,0.39642,2,3,2,3,1,0.21038,0.9998,0.062
0.3065,0.37389,0.59383,1,3,1,2,1,0.14136,0.9998,0.089
0.042253,0.93331,0.13097,1,1,1,2,3,0.41686,0.9998,0.013
0.17357,0.70263,0.60622,3,3,1,2,2,0.10722,0.9998,0.201
0.034777,0.50498,0.80144,2,3,2,3,2,0.17325,0.9998,0.056
0.80452,0.87184,0.18947,1,2,2,3,2,0.061847,0.078,0.199
0.54452,0.72451,0.76044,3,2,1,3,2,0.42767,0.9998,0.016
0.37172,0.87975,0.17652,2,1,3,1,3,0.06476,0.0087,0.458
0.37984,0.98576,0.39899,3,1,3,3,2,0.22009,0.7072,0.001
0.31068,0.58621,0.70801,1,1,1,3,1,0.071819,0.9998,0.001
0.70004,0.45016,0.6799,3,1,2,1,3,0.27865,0.0043,0.181
0.48899,0.47917,0.92917,3,2,3,2,2,0.23338,0.0428,0.122
0.85625,0.70894,0.37358,1,2,3,2,1,0.11085,0.0021,0.438
0.84733,0.77592,0.13665,1,2,2,3,1,0.4292,0.0197,0.168
0.77149,0.83535,0.42107,1,2,2,1,1,0.028407,0.0098,0.882
0.91706,0.83074,0.88703,2,1,3,2,1,0.034399,0.001,0.022
0.4255,0.72787,0.85577,1,3,3,3,2,0.3354,0.474,0.08
0.88786,0.89006,0.8988,2,1,3,2,2,0.4695,0.001,0.019
0.022799,0.59686,0.34106,3,1,1,1,1,0.27068,0.9998,0.035
0.13812,0.65546,0.85666,3,1,2,3,2,0.19216,0.9998,0.001
0.083498,0.49588,0.44701,3,2,2,2,3,0.29379,0.9998,0.049
0.86083,0.62656,0.4981,3,2,2,3,2,0.24372,0.1033,0.054
0.8616,0.79821,0.87281,1,1,1,3,1,0.469,0.9998,0.001
0.48223,0.30987,0.62288,1,2,3,2,3,0.11555,0.034,0.129
0.24417,0.60027,0.010177,2,3,2,2,2,0.30441,0.0549,0.593
0.0089151,0.87044,0.1405,3,1,1,3,1,0.43993,0.9998,0.001
0.64803,0.60336,0.13976,1,2,2,2,3,0.37596,0.0263,0.278
0.03146,0.88478,0.83571,1,2,3,1,3,0.024929,0.0681,0.801
0.78962,0.85943,0.049565,2,3,1,3,2,0.1416,0.9998,0.25
0.29896,0.47928,0.88656,2,2,3,3,2,0.2234,0.9998,0.012
0.89994,0.66687,0.1202,3,1,3,1,3,0.088897,0.001,0.519
0.34287,0.74677,0.34301,3,3,1,3,3,0.10824,0.9998,0.137
0.092069,0.31682,0.49115,3,3,1,2,2,0.13913,0.9998,0.085
0.20368,0.76643,0.44307,2,1,1,2,3,0.21665,0.9998,0.004
0.94478,0.80013,0.67922,1,1,2,1,2,0.47969,0.001,0.283
0.98668,0.84054,0.47535,3,2,3,1,1,0.34045,0.001,0.86
0.47232,0.53336,0.97584,2,2,1,2,1,0.27772,0.9998,0.037
0.52395,0.94781,0.73902,3,2,2,3,3,0.28372,0.9998,0.028
0.47657,0.93832,0.014854,3,3,3,2,2,0.078347,0.034,0.848
0.10963,0.60644,0.28023,2,2,1,2,3,0.49262,0.9998,0.057
0.83701,0.88334,0.20372,2,1,1,2,3,0.27221,0.9998,0.01
0.076979,0.63195,0.83503,3,1,3,3,1,0.2347,0.9998,0.001
0.60295,0.48571,0.8648,2,2,1,1,3,0.029055,0.3805,0.384
0.89424,0.84485,0.069368,2,3,2,2,2,0.13939,0.0076,0.789
0.4794,0.92898,0.93471,2,3,2,1,2,0.40894,0.0373,0.769
0.0043351,0.87967,0.50744,3,3,3,1,2,0.18308,0.0571,0.847
0.068339,0.58687,0.12338,1,2,1,1,1,0.22151,0.7215,0.24
0.34857,0.32934,0.14234,3,2,1,2,3,0.038296,0.9998,0.105
0.62869,0.91443,0.66235,3,2,3,3,2,0.43771,0.1066,0.053
0.67116,0.75669,0.53105,2,1,1,3,1,0.35755,0.9998,0.001
0.11715,0.4683,0.68491,2,2,2,3,2,0.41963,0.9998,0.011
0.51004,0.64695,0.65137,3,1,3,2,2,0.37185,0.0681,0.006
0.17937,0.37655,0.90516,1,1,3,2,3,0.43818,0.5301,0.001
0.51101,0.91146,0.070221,3,3,1,2,3,0.49377,0.9998,0.241
0.013656,0.56184,0.92269,3,2,2,2,3,0.27324,0.9998,0.044
0.51356,0.99481,0.45584,2,2,1,3,3,0.21302,0.9998,0.044
0.82908,0.65831,0.55196,1,1,3,3,2,0.10664,0.0351,0.001
0.21966,0.5844,0.62991,2,1,1,3,2,0.27765,0.9998,0.001
0.15987,0.76679,0.01792,1,1,1,2,2,0.059838,0.9998,0.138
0.24288,0.88399,0.81359,3,3,1,2,3,0.31449,0.9998,0.165
0.63195,0.47029,0.57141,1,2,3,3,2,0.49086,0.1055,0.026
0.083986,0.47521,0.81135,3,1,3,2,3,0.042212,0.6643,0.003
0.35038,0.63495,0.5874,2,3,3,1,2,0.072903,0.0263,0.9
0.7831,0.77998,0.46622,3,2,1,2,3,0.13016,0.9998,0.11
0.79459,0.94807,0.17884,2,1,1,3,3,0.25877,0.9998,0.001
0.81763,0.72024,0.084997,2,3,2,2,3,0.46118,0.0087,0.637
0.2441,0.9191,0.71265,1,2,1,2,3,0.18907,0.9998,0.098
0.62028,0.82268,0.97726,1,1,3,1,3,0.19196,0.0032,0.255
0.56427,0.43117,0.53169,1,3,3,2,1,0.17752,0.0208,0.338
0.67811,0.33674,0.80117,1,3,2,3,1,0.33928,0.9998,0.025
0.31607,0.35424,0.85061,3,1,3,2,2,0.072263,0.3266,0.002
0.22653,0.5786,0.69657,2,2,3,2,3,0.03232,0.1275,0.223
0.98605,0.80273,0.41318,3,2,3,2,1,0.049315,0.001,0.445
0.4968,0.31569,0.053832,3,2,1,1,3,0.070437,0.0593,0.53
0.89765,0.502,0.26905,3,2,2,2,1,0.2971,0.0021,0.378
0.28284,0.44363,0.43913,2,2,2,3,2,0.013625,0.9998,0.052
0.86219,0.61005,0.54801,3,2,1,2,1,0.28343,0.9998,0.054
0.73826,0.3266,0.95424,3,2,1,2,1,0.37119,0.9998,0.019
0.99334,0.54969,0.75286,3,2,1,1,3,0.055024,0.001,0.857
0.45096,0.74805,0.13204,2,2,3,1,1,0.22641,0.0076,0.855
0.70058,0.46931,0.75983,2,3,1,2,3,0.14546,0.9998,0.118
0.29086,0.46976,0.93668,1,1,2,2,1,0.4301,0.9998,0.001
0.98974,0.42857,0.86166,2,2,2,2,1,0.016316,0.001,0.372
0.54327,0.47599,0.57857,1,3,2,1,3,0.45774,0.0131,0.64
0.75379,0.39236,0.35592,3,2,2,1,1,0.19794,0.0021,0.753
0.48838,0.81033,0.20262,3,1,3,1,1,0.10814,0.0054,0.433
0.19003,0.30126,0.71176,3,2,1,3,3,0.43386,0.9998,0.006
0.0075074,0.78225,0.94602,1,1,2,2,2,0.43677,0.9998,0.001
0.30081,0.8587,0.79564,1,2,1,2,2,0.39055,0.9998,0.063
0.11357,0.93901,0.48166,2,1,3,3,1,0.4259,0.9998,0.001
0.77723,0.65774,0.02775,3,1,1,1,2,0.49519,0.0043,0.56
0.75099,0.40746,0.35679,2,1,1,2,2,0.071975,0.9998,0.004
0.49741,0.67649,0.87091,3,2,1,1,3,0.36142,0.9987,0.152
0.80857,0.98917,0.88592,3,1,2,3,2,0.10692,0.9294,0.001
0.24895,0.5705,0.43143,1,2,1,2,3,0.41544,0.9998,0.049
0.73763,0.96284,0.5101,3,2,2,3,3,0.39594,0.8271,0.033
0.5233,0.60094,0.20716,2,3,2,3,3,0.1617,0.991,0.114
0.53169,0.66479,0.77431,1,2,1,2,3,0.060131,0.9998,0.103
0.19856,0.77072,0.90183,2,2,2,2,3,0.099579,0.9998,0.095
